sex,year,age,country,SUM_suicides_no,SUM_population,SUM_suicides_per100k_pop
female,2002,15-24 years,United States,578,19768514,2.92
female,2002,15-24 years,Uruguay,17,251019,6.77
female,2002,15-24 years,Uzbekistan,141,2627925,5.37
female,2002,25-34 years,Argentina,91,2772560,3.28
female,2002,25-34 years,Aruba,0,7233,0
female,2002,25-34 years,Australia,103,1444148,7.13
female,2002,25-34 years,Belgium,58,692308,8.38
female,2002,25-34 years,Brazil,334,14784790,2.26
female,2002,25-34 years,Bulgaria,21,557945,3.76
female,2002,25-34 years,Canada,124,2142391,5.79
female,2002,25-34 years,Chile,46,1236130,3.72
female,2002,25-34 years,Colombia,92,3430874,2.68
female,2002,25-34 years,Cuba,84,989884,8.49
female,2002,25-34 years,Denmark,11,374887,2.93
female,2002,25-34 years,Fiji,5,58817,8.5
female,2002,25-34 years,Finland,30,314846,9.53
female,2002,25-34 years,France,275,4087370,6.73
female,2002,25-34 years,Germany,219,5348715,4.09
female,2002,25-34 years,Greece,11,836636,1.31
female,2002,25-34 years,Guatemala,14,862814,1.62
female,2002,25-34 years,Hungary,41,761375,5.38
female,2002,25-34 years,Iceland,2,20483,9.76
female,2002,25-34 years,Ireland,19,308892,6.15
female,2002,25-34 years,Israel,10,490754,2.04
female,2002,25-34 years,Italy,92,4321886,2.13
female,2002,25-34 years,Japan,1005,9124000,11.01
female,2002,25-34 years,Kuwait,5,213750,2.34
female,2002,25-34 years,Maldives,0,21420,0
female,2002,25-34 years,Malta,2,26071,7.67
female,2002,25-34 years,Mauritius,6,94139,6.37
female,2002,25-34 years,Mexico,119,9124293,1.3
female,2002,25-34 years,Montenegro,0,43578,0
female,2002,25-34 years,Netherlands,57,1164180,4.9
female,2002,25-34 years,New Zealand,26,282330,9.21
female,2002,25-34 years,Norway,23,326338,7.05
female,2002,25-34 years,Panama,6,260156,2.31
female,2002,25-34 years,Paraguay,11,382378,2.88
female,2002,25-34 years,Philippines,61,6059494,1.01
female,2002,25-34 years,Poland,68,2648168,2.57
female,2002,25-34 years,Portugal,28,800649,3.5
female,2002,25-34 years,Puerto Rico,9,275792,3.26
female,2002,25-34 years,Republic of Korea,401,4314215,9.29
female,2002,25-34 years,Romania,58,1810431,3.2
female,2002,25-34 years,Russian Federation,1086,9838656,11.04
female,2002,25-34 years,Serbia,23,492285,4.67
female,2002,25-34 years,Seychelles,0,7300,0
female,2002,25-34 years,Singapore,20,286100,6.99
female,2002,25-34 years,Slovakia,10,405949,2.46
female,2002,25-34 years,Slovenia,8,142886,5.6
female,2002,25-34 years,South Africa,6,3871715,0.15
female,2002,25-34 years,Spain,103,3417162,3.01
female,2002,25-34 years,Sri Lanka,213,1514774,14.06
female,2002,25-34 years,Sweden,36,584302,6.16
female,2002,25-34 years,Switzerland,31,514628,6.02
female,2002,25-34 years,Thailand,287,5812384,4.94
female,2002,25-34 years,Trinidad and Tobago,9,94721,9.5
female,2002,25-34 years,Turkmenistan,19,359375,5.29
female,2002,25-34 years,United Kingdom,170,4149794,4.1
female,2002,25-34 years,United States,911,19725528,4.62
female,2002,25-34 years,Uruguay,14,239064,5.86
female,2002,25-34 years,Uzbekistan,107,1930142,5.54
female,2002,35-54 years,Argentina,194,4355651,4.45
female,2002,35-54 years,Aruba,0,16782,0
female,2002,35-54 years,Australia,213,2845525,7.49
female,2002,35-54 years,Belgium,242,1503026,16.1
female,2002,35-54 years,Brazil,607,21872177,2.78
female,2002,35-54 years,Bulgaria,77,1110364,6.93
female,2002,35-54 years,Canada,370,4929966,7.51
female,2002,35-54 years,Chile,101,2055488,4.91
female,2002,35-54 years,Colombia,81,5056712,1.6
female,2002,35-54 years,Cuba,160,1617731,9.89
female,2002,35-54 years,Denmark,63,762841,8.26
female,2002,35-54 years,Fiji,3,91724,3.27
female,2002,35-54 years,Finland,125,773011,16.17
female,2002,35-54 years,France,1198,8616861,13.9
female,2002,35-54 years,Germany,905,12321464,7.34
female,2002,35-54 years,Greece,17,1519280,1.12
female,2002,35-54 years,Guatemala,9,975928,0.92
female,2002,35-54 years,Hungary,248,1453102,17.07
