sex,year,country,SUM of suicides_no
female,2006,El Salvador,118
female,2006,Estonia,56
female,2006,Fiji,9
female,2006,Finland,259
female,2006,France,2830
female,2006,Georgia,13
female,2006,Germany,2544
female,2006,Greece,68
female,2006,Grenada,0
female,2006,Guatemala,71
female,2006,Guyana,50
female,2006,Hungary,600
female,2006,Iceland,10
female,2006,Ireland,80
female,2006,Israel,88
female,2006,Italy,859
female,2006,Jamaica,0
female,2006,Japan,8486
female,2006,Kazakhstan,675
female,2006,Kuwait,11
female,2006,Kyrgyzstan,97
female,2006,Latvia,80
female,2006,Lithuania,196
female,2006,Luxembourg,18
female,2006,Malta,5
female,2006,Mauritius,29
female,2006,Mexico,709
female,2006,Montenegro,0
female,2006,Netherlands,479
female,2006,New Zealand,139
female,2006,Norway,141
female,2006,Panama,13
female,2006,Paraguay,69
female,2006,Philippines,402
female,2006,Poland,858
female,2006,Puerto Rico,22
female,2006,Qatar,5
female,2006,Republic of Korea,3426
female,2006,Romania,481
female,2006,Russian Federation,7227
female,2006,Saint Lucia,0
female,2006,Saint Vincent and Grenadines,1
female,2006,Serbia,422
female,2006,Seychelles,0
female,2006,Singapore,141
female,2006,Slovakia,0
female,2006,Slovenia,114
female,2006,South Africa,97
female,2006,Spain,735
female,2006,Sri Lanka,898
female,2006,Suriname,28
female,2006,Sweden,380
female,2006,Switzerland,446
female,2006,Thailand,756
female,2006,Trinidad and Tobago,26
female,2006,Turkmenistan,114
female,2006,Ukraine,1713
female,2006,United Arab Emirates,14
female,2006,United Kingdom,936
female,2006,United States,6992
female,2006,Uruguay,136
female,2007,Albania,47
female,2007,Antigua and Barbuda,0
female,2007,Argentina,600
female,2007,Armenia,20
female,2007,Aruba,1
female,2007,Australia,530
female,2007,Austria,317
female,2007,Azerbaijan,14
female,2007,Bahamas,1
female,2007,Bahrain,6
female,2007,Barbados,0
female,2007,Belarus,456
female,2007,Belgium,537
female,2007,Belize,2
female,2007,Brazil,1871
female,2007,Bulgaria,239
female,2007,Canada,884
female,2007,Chile,352
female,2007,Colombia,454
female,2007,Costa Rica,44
female,2007,Croatia,198
female,2007,Cuba,266
female,2007,Cyprus,4
female,2007,Czech Republic,230
female,2007,Denmark,180
female,2007,Ecuador,274
female,2007,El Salvador,112
female,2007,Estonia,46
female,2007,Fiji,3
female,2007,Finland,244
female,2007,France,2708
female,2007,Georgia,20
female,2007,Germany,2397
female,2007,Greece,60
female,2007,Grenada,1
female,2007,Guatemala,64
female,2007,Guyana,42
female,2007,Hungary,571
female,2007,Iceland,7
female,2007,Ireland,96
female,2007,Israel,63
female,2007,Italy,864
female,2007,Japan,8798
female,2007,Kazakhstan,721
female,2007,Kuwait,14
female,2007,Kyrgyzstan,116
female,2007,Latvia,95
female,2007,Lithuania,177
female,2007,Luxembourg,25
female,2007,Maldives,2
female,2007,Malta,1
female,2007,Mauritius,30
female,2007,Mexico,762
female,2007,Montenegro,32
female,2007,Netherlands,410
female,2007,New Zealand,118
female,2007,Norway,149
female,2007,Panama,21
female,2007,Paraguay,68
female,2007,Philippines,406
female,2007,Poland,812
female,2007,Portugal,269
female,2007,Puerto Rico,43
female,2007,Qatar,4
female,2007,Republic of Korea,4427
female,2007,Romania,446
female,2007,Russian Federation,7341
female,2007,Saint Vincent and Grenadines,0
female,2007,Serbia,385
female,2007,Seychelles,1
female,2007,Singapore,131
female,2007,Slovakia,0
female,2007,Slovenia,99
female,2007,South Africa,104
female,2007,Spain,801
female,2007,Suriname,32
female,2007,Sweden,325
female,2007,Switzerland,440
female,2007,Thailand,811
female,2007,Trinidad and Tobago,20
female,2007,Turkmenistan,85
female,2007,Ukraine,1629
female,2007,United Arab Emirates,13
female,2007,United Kingdom,872
female,2007,United States,7329
female,2007,Uruguay,135
female,2008,Albania,61
female,2008,Antigua and Barbuda,0
female,2008,Argentina,611
female,2008,Armenia,19
female,2008,Aruba,1
female,2008,Australia,508
female,2008,Austria,304
female,2008,Bahamas,0
female,2008,Bahrain,8
female,2008,Barbados,1
female,2008,Belarus,471
female,2008,Belgium,547
female,2008,Belize,1
female,2008,Brazil,1918
female,2008,Bulgaria,245
female,2008,Canada,928
female,2008,Chile,414
female,2008,Colombia,448
female,2008,Costa Rica,34
female,2008,Croatia,184
female,2008,Cuba,310
female,2008,Cyprus,10
female,2008,Czech Republic,256
female,2008,Denmark,185
female,2008,Ecuador,255
female,2008,El Salvador,116
female,2008,Estonia,53
female,2008,Fiji,12
female,2008,Finland,232
female,2008,France,2734
female,2008,Germany,2414
female,2008,Greece,65
female,2008,Grenada,0
female,2008,Guatemala,121
female,2008,Guyana,44
female,2008,Hungary,566
female,2008,Iceland,11
female,2008,Ireland,120
female,2008,Israel,60
female,2008,Italy,907
female,2008,Japan,8668
female,2008,Kazakhstan,767
female,2008,Kuwait,14
female,2008,Kyrgyzstan,94
female,2008,Latvia,100
female,2008,Lithuania,193
female,2008,Luxembourg,8
female,2008,Maldives,0
female,2008,Malta,2
female,2008,Mauritius,12
female,2008,Mexico,860
female,2008,Montenegro,46
female,2008,Netherlands,448
female,2008,New Zealand,139
female,2008,Norway,158
female,2008,Panama,32
female,2008,Paraguay,62
female,2008,Philippines,409
female,2008,Poland,812
female,2008,Portugal,244
female,2008,Puerto Rico,47
female,2008,Qatar,2
female,2008,Republic of Korea,4598
female,2008,Romania,446
female,2008,Russian Federation,6925
female,2008,Saint Lucia,0
female,2008,Saint Vincent and Grenadines,1
female,2008,Serbia,386
female,2008,Seychelles,0
female,2008,Singapore,112
female,2008,Slovakia,83
female,2008,Slovenia,84
female,2008,South Africa,95
female,2008,Spain,781
female,2008,Suriname,34
female,2008,Sweden,315
female,2008,Switzerland,453
female,2008,Thailand,872
female,2008,Trinidad and Tobago,36
female,2008,Turkmenistan,114
female,2008,Ukraine,1675
female,2008,United Arab Emirates,18
female,2008,United Kingdom,959
female,2008,United States,7583
female,2008,Uruguay,112
female,2009,Albania,0
female,2009,Antigua and Barbuda,0
female,2009,Argentina,584
female,2009,Armenia,10
female,2009,Aruba,0
female,2009,Australia,552
female,2009,Austria,306
female,2009,Bahamas,1
female,2009,Bahrain,6
female,2009,Barbados,0
female,2009,Belarus,505
female,2009,Belgium,554
female,2009,Belize,4
female,2009,Brazil,1873
female,2009,Bulgaria,206
female,2009,Canada,901
female,2009,Chile,424
female,2009,Colombia,447
female,2009,Costa Rica,42
female,2009,Croatia,172
female,2009,Cuba,336
female,2009,Cyprus,7
female,2009,Czech Republic,234
female,2009,Denmark,145
female,2009,Ecuador,245
female,2009,El Salvador,113
female,2009,Estonia,49
female,2009,Fiji,7
female,2009,Finland,273
female,2009,France,2734
female,2009,Georgia,39
female,2009,Germany,2373
female,2009,Greece,58
female,2009,Grenada,0
female,2009,Guatemala,145
female,2009,Guyana,47
female,2009,Hungary,559
female,2009,Iceland,7
female,2009,Ireland,105
female,2009,Israel,94
female,2009,Italy,881
female,2009,Jamaica,3
female,2009,Japan,8508
female,2009,Kazakhstan,718
female,2009,Kuwait,21
female,2009,Kyrgyzstan,96
female,2009,Latvia,100
female,2009,Lithuania,186
female,2009,Luxembourg,12
female,2009,Malta,3
female,2009,Mauritius,23
female,2009,Mexico,966
female,2009,Montenegro,30
female,2009,Netherlands,462
female,2009,New Zealand,118
female,2009,Norway,157
female,2009,Oman,0
female,2009,Panama,28
female,2009,Paraguay,70
female,2009,Philippines,525
female,2009,Poland,946
female,2009,Portugal,222
female,2009,Puerto Rico,29
female,2009,Qatar,3
female,2009,Republic of Korea,5475
female,2009,Romania,389
female,2009,Russian Federation,6485
female,2009,Saint Lucia,0
female,2009,Saint Vincent and Grenadines,0
female,2009,Serbia,376
female,2009,Seychelles,0
female,2009,Singapore,114
female,2009,Slovakia,58
female,2009,Slovenia,97
female,2009,South Africa,92
female,2009,Spain,763
female,2009,Suriname,32
female,2009,Sweden,354
female,2009,Switzerland,278
female,2009,Thailand,861
female,2009,Trinidad and Tobago,21
female,2009,Turkey,249
female,2009,Turkmenistan,40
female,2009,Ukraine,1724
female,2009,United Arab Emirates,15
female,2009,United Kingdom,933
female,2009,United States,7821
female,2009,Uruguay,103
female,2009,Uzbekistan,376
female,2010,Albania,35
female,2010,Argentina,566
female,2010,Armenia,19
female,2010,Aruba,1
female,2010,Australia,553
female,2010,Austria,294
female,2010,Bahamas,4
female,2010,Bahrain,4
female,2010,Barbados,0
female,2010,Belarus,390
female,2010,Belgium,563
female,2010,Belize,2
female,2010,Brazil,2073
female,2010,Bulgaria,210
female,2010,Canada,970
female,2010,Chile,383
female,2010,Colombia,397
female,2010,Costa Rica,43
female,2010,Croatia,192
female,2010,Cuba,329
female,2010,Cyprus,8
female,2010,Czech Republic,257
female,2010,Denmark,158
female,2010,Ecuador,254
female,2010,El Salvador,95
female,2010,Estonia,42
female,2010,Finland,236
female,2010,France,2738
female,2010,Georgia,16
female,2010,Germany,2559
female,2010,Greece,41
female,2010,Grenada,0
female,2010,Guatemala,82
female,2010,Guyana,49
female,2010,Hungary,547
female,2010,Iceland,10
female,2010,Ireland,100
female,2010,Israel,86
female,2010,Italy,861
female,2010,Jamaica,0
female,2010,Japan,8506
female,2010,Kazakhstan,645
female,2010,Kuwait,13
female,2010,Kyrgyzstan,105
female,2010,Latvia,62
female,2010,Lithuania,189
female,2010,Luxembourg,11
female,2010,Maldives,0
female,2010,Malta,2
female,2010,Mauritius,22
female,2010,Mexico,900
female,2010,Netherlands,477
female,2010,New Zealand,149
female,2010,Nicaragua,77
female,2010,Norway,164
female,2010,Oman,0
female,2010,Panama,21
female,2010,Paraguay,63
female,2010,Philippines,487
female,2010,Poland,840
female,2010,Portugal,265
female,2010,Puerto Rico,45
female,2010,Qatar,1
female,2010,Republic of Korea,5237
female,2010,Romania,462
female,2010,Russian Federation,5795
female,2010,Saint Lucia,1
female,2010,Saint Vincent and Grenadines,0
female,2010,Serbia,304
female,2010,Seychelles,0
female,2010,Singapore,99
female,2010,Slovakia,92
female,2010,Slovenia,78
female,2010,South Africa,94
female,2010,Spain,690
female,2010,Suriname,42
female,2010,Sweden,303
female,2010,Switzerland,282
female,2010,Thailand,848
female,2010,Trinidad and Tobago,31
female,2010,Turkey,376
female,2010,Turkmenistan,47
female,2010,Ukraine,1579
female,2010,United Arab Emirates,22
female,2010,United Kingdom,963
female,2010,United States,8087
female,2010,Uruguay,126
female,2010,Uzbekistan,453
female,2011,Argentina,583
female,2011,Armenia,16
female,2011,Aruba,2
female,2011,Australia,580
female,2011,Austria,313
female,2011,Bahamas,1
female,2011,Bahrain,6
female,2011,Barbados,0
female,2011,Belarus,380
female,2011,Belgium,600
female,2011,Belize,5
female,2011,Bosnia and Herzegovina,0
female,2011,Brazil,2088
female,2011,Bulgaria,158
female,2011,Cabo Verde,5
female,2011,Canada,947
female,2011,Chile,370
female,2011,Colombia,382
female,2011,Costa Rica,53
female,2011,Croatia,182
female,2011,Cuba,315
female,2011,Cyprus,5
female,2011,Czech Republic,253
female,2011,Denmark,152
female,2011,Ecuador,264
female,2011,El Salvador,118
female,2011,Estonia,40
female,2011,Fiji,8
female,2011,Finland,202
female,2011,France,2618
female,2011,Georgia,15
female,2011,Germany,2502
female,2011,Greece,84
female,2011,Grenada,0
female,2011,Guatemala,108
female,2011,Guyana,39
female,2011,Hungary,574
female,2011,Iceland,5
female,2011,Ireland,96
female,2011,Israel,87
female,2011,Italy,863
female,2011,Jamaica,6
female,2011,Japan,8985
female,2011,Kazakhstan,608
female,2011,Kuwait,15
female,2011,Kyrgyzstan,108
female,2011,Latvia,75
female,2011,Lithuania,201
female,2011,Luxembourg,18
female,2011,Maldives,0
female,2011,Malta,0
female,2011,Mauritius,23
female,2011,Mexico,1071
female,2011,Netherlands,513
female,2011,New Zealand,116
female,2011,Nicaragua,93
female,2011,Norway,164
female,2011,Panama,19
female,2011,Paraguay,76
female,2011,Philippines,570
female,2011,Poland,760
female,2011,Portugal,223
female,2011,Puerto Rico,42
female,2011,Qatar,5
female,2011,Republic of Korea,5040
female,2011,Romania,394
female,2011,Russian Federation,5568
female,2011,Saint Lucia,0
female,2011,Saint Vincent and Grenadines,1
female,2011,Serbia,347
female,2011,Seychelles,0
female,2011,Singapore,111
female,2011,Slovenia,88
female,2011,South Africa,75
female,2011,Spain,745
female,2011,Suriname,32
female,2011,Sweden,323
female,2011,Switzerland,277
female,2011,Thailand,888
female,2011,Trinidad and Tobago,27
female,2011,Turkey,298
female,2011,Turkmenistan,39
female,2011,Ukraine,1664
female,2011,United Kingdom,960
female,2011,United States,8512
female,2011,Uzbekistan,517
female,2012,Antigua and Barbuda,0
female,2012,Argentina,628
female,2012,Armenia,20
female,2012,Australia,650
female,2012,Austria,289
female,2012,Bahamas,1
female,2012,Bahrain,1
female,2012,Barbados,0
female,2012,Belgium,541
female,2012,Belize,2
female,2012,Brazil,2254
female,2012,Bulgaria,199
female,2012,Canada,954
female,2012,Chile,331
female,2012,Colombia,387
female,2012,Costa Rica,42
female,2012,Croatia,180
female,2012,Cuba,296
female,2012,Cyprus,2
female,2012,Czech Republic,278
female,2012,Denmark,167
female,2012,Ecuador,265
female,2012,El Salvador,116
female,2012,Estonia,47
female,2012,Fiji,10
female,2012,Finland,218
female,2012,France,2417
female,2012,Georgia,13
female,2012,Germany,2607
female,2012,Greece,91
female,2012,Grenada,0
female,2012,Guatemala,110
female,2012,Guyana,50
female,2012,Hungary,546
female,2012,Iceland,11
female,2012,Ireland,96
female,2012,Israel,81
female,2012,Italy,933
female,2012,Japan,7936
female,2012,Kazakhstan,563
female,2012,Kuwait,19
female,2012,Kyrgyzstan,122
female,2012,Latvia,73
female,2012,Lithuania,174
female,2012,Luxembourg,12
female,2012,Malta,6
female,2012,Mauritius,26
female,2012,Mexico,1051
female,2012,Netherlands,570
female,2012,New Zealand,145
female,2012,Nicaragua,82
female,2012,Norway,146
female,2012,Panama,18
female,2012,Paraguay,88
female,2012,Poland,810
female,2012,Portugal,217
female,2012,Puerto Rico,44
female,2012,Qatar,5
female,2012,Republic of Korea,4538
female,2012,Romania,353
female,2012,Russian Federation,5454
female,2012,Saint Lucia,1
female,2012,Saint Vincent and Grenadines,3
female,2012,Serbia,311
female,2012,Seychelles,0
female,2012,Singapore,149
female,2012,Slovakia,72
female,2012,Slovenia,80
female,2012,South Africa,114
female,2012,Spain,815
female,2012,Suriname,33
female,2012,Sweden,335
female,2012,Switzerland,286
female,2012,Thailand,930
female,2012,Turkey,378
female,2012,Turkmenistan,33
female,2012,Ukraine,1697
female,2012,United Kingdom,932
female,2012,United States,8819
female,2012,Uruguay,123
female,2012,Uzbekistan,615
female,2013,Antigua and Barbuda,0
female,2013,Argentina,589
female,2013,Armenia,24
female,2013,Australia,664
female,2013,Austria,324
female,2013,Bahamas,1
female,2013,Bahrain,0
female,2013,Barbados,0
female,2013,Belarus,334
female,2013,Belgium,532
female,2013,Belize,1
female,2013,Brazil,2223
female,2013,Bulgaria,148
female,2013,Canada,1013
female,2013,Chile,318
female,2013,Colombia,405
female,2013,Costa Rica,39
female,2013,Croatia,146
female,2013,Cuba,298
female,2013,Cyprus,5
female,2013,Czech Republic,283
female,2013,Denmark,160
female,2013,Ecuador,186
female,2013,El Salvador,98
female,2013,Estonia,47
female,2013,Finland,221
female,2013,France,2375
female,2013,Georgia,23
female,2013,Germany,2635
female,2013,Greece,108
female,2013,Grenada,0
female,2013,Guatemala,124
female,2013,Guyana,50
female,2013,Hungary,505
female,2013,Iceland,14
female,2013,Ireland,96
female,2013,Israel,81
female,2013,Italy,968
female,2013,Japan,7910
female,2013,Kazakhstan,675
female,2013,Kuwait,13
female,2013,Kyrgyzstan,97
female,2013,Latvia,61
female,2013,Lithuania,198
female,2013,Luxembourg,16
female,2013,Malta,1
female,2013,Mauritius,15
female,2013,Mexico,1043
female,2013,Netherlands,549
female,2013,New Zealand,147
female,2013,Nicaragua,75
female,2013,Norway,176
female,2013,Panama,13
female,2013,Paraguay,76
female,2013,Poland,840
female,2013,Portugal,241
female,2013,Puerto Rico,37
female,2013,Qatar,1
female,2013,Republic of Korea,4367
female,2013,Romania,364
female,2013,Russian Federation,4976
female,2013,Saint Lucia,1
female,2013,Saint Vincent and Grenadines,0
female,2013,Serbia,296
female,2013,Seychelles,0
